source_id,source_name,source_type,license_notes,base_url
local_seed,Local sport_name seed list,seed,User-provided seed list for normalization bootstrap.,/Users/romain/dev/DataSport/data/raw/sport_name_seed.txt
wikidata,Wikidata SPARQL,sparql,"CC0 (Wikidata), verify downstream license compatibility.",https://query.wikidata.org/sparql
football_data,football-data.org,api,Free tier terms apply; do not republish restricted payloads.,https://api.football-data.org/v4
balldontlie_nba,balldontlie NBA,api,"API terms apply; mostly club data, country mapping is heuristic.",https://api.balldontlie.io/v1
fifa_ranking_history,FIFA Men's Ranking Historical CSV,csv,Open-source mirror of FIFA ranking history (source repository attribution required; validate terms for redistribution).,https://raw.githubusercontent.com/Dato-Futbol/fifa-ranking/master/ranking_fifa_historical.csv
world_cup_history,FIFA World Cup Historical Results,text,OpenFootball open data. Parsed from raw GitHub files (cup_finals.txt/cup.txt) with optional local seed fallback data/raw/world_cup/world_cup_top4_seed.csv.,https://raw.githubusercontent.com/openfootball/world-cup/master
paris_2024_summer_olympics,Paris 2024 Summer Olympics (Event-level medals),csv,"Primary source requested by user: KeithGalli Olympics Dataset (CC BY 4.0 in repository README), but this file currently stops at year 2022 and has no Paris 2024 rows. Paris 2024 event-level medals are ingested from taniki/paris2024-data.",https://raw.githubusercontent.com/KeithGalli/Olympics-Dataset/refs/heads/master/clean-data/results.csv | https://raw.githubusercontent.com/taniki/paris2024-data/main/datasets/medals.csv
olympics_keith_history,Olympics Historical Results (KeithGalli),csv,Primary historical source: KeithGalli Olympics Dataset (repository indicates CC BY 4.0). Supplementary sources: taniki/paris2024-data for Paris 2024 event medals and Wikipedia 2026 Winter Olympics medal winners seed.,https://raw.githubusercontent.com/KeithGalli/Olympics-Dataset/refs/heads/master/clean-data/results.csv | https://raw.githubusercontent.com/taniki/paris2024-data/main/datasets/medals.csv | https://en.wikipedia.org/wiki/List_of_2026_Winter_Olympics_medal_winners
fifa_women_ranking_history,FIFA Women's Ranking Historical CSV,csv,Open-source mirrors of FIFA women's ranking snapshots (source repository attribution required; validate terms for redistribution).,https://api.github.com/repos/hericlibong/FifaWomen_Ranking_ApiScrapy/contents/soccerwomen/spiders
world_rugby_ranking_history,World Rugby Men/Women Rankings History,api,World Rugby rankings API snapshots plus legacy men historical CSV mirror (respect platform terms and attribution).,https://api.wr-rims-prod.pulselive.com/rugby/v3/rankings
fifa_women_world_cup_history,FIFA Women's World Cup Historical Results,csv,Historical top4 seed from local file data/raw/world_cup/womens_world_cup_top4_seed.csv (curated from FIFA / Wikipedia public information).,https://en.wikipedia.org/wiki/FIFA_Women%27s_World_Cup
rugby_world_cup_history,Rugby World Cup Historical Results (Men/Women),csv,Historical top4 seeds from local files data/raw/world_rugby/rugby_world_cup_top4_seed.csv and data/raw/world_rugby/womens_rugby_world_cup_top4_seed.csv (curated from World Rugby / Wikipedia public information).,https://en.wikipedia.org/wiki/Rugby_World_Cup
fiba_ranking_history,FIBA Men/Women World Ranking History,csv,Historical snapshots from official FIBA ranking pages and APIM endpoints (getgdapfederationsranking). Fallback to local seed if remote fetch fails.,https://www.fiba.basketball/en/ranking
fiba_basketball_world_cup_history,FIBA Basketball World Cup Historical Results (Men/Women),csv,Historical top4 seeds from local files data/raw/basketball/fiba_world_cup_men_top4_seed.csv and data/raw/basketball/fiba_world_cup_women_top4_seed.csv (curated from FIBA / Wikipedia public information).,https://www.fiba.basketball
ihf_handball_world_championship_history,IHF Handball World Championship Historical Results (Men/Women),csv,Historical top4 seeds from local files data/raw/handball/ihf_world_men_handball_championship_top4_seed.csv and data/raw/handball/ihf_world_women_handball_championship_top4_seed.csv (curated from IHF / Wikipedia public information).,https://en.wikipedia.org/wiki/World_Men%27s_Handball_Championship
icc_cricket_world_cup_history,ICC Cricket World Cup Historical Results (Men/Women),csv,Historical top4 seeds from local files data/raw/cricket/icc_cricket_world_cup_men_final_seed.csv and data/raw/cricket/icc_cricket_world_cup_women_final_seed.csv (curated from ICC / Wikipedia public information). Many editions have no official 3rd-place playoff; ranks 3-4 are sourced from semi-finalists when no official bronze match exists.,https://en.wikipedia.org/wiki/Cricket_World_Cup
icc_team_ranking_history,ICC Team Rankings (Men Test/ODI/T20I),api,"ICC rankings fetched from assets-icc.sportz.io ranking endpoint (comp_type=test|odi|t20, type=team) with client_id extracted from ICC rankings pages. Only top 10 is persisted in competition results.",https://www.icc-cricket.com/rankings/team-rankings/mens/test
world_athletics_championships_history,World Athletics Championships Historical Podiums (Top 3 by Discipline),csv,"Local seed data/raw/athletics/world_athletics_championships_top3_seed.csv curated from public medal summary pages (editions >= 2000, currently 2001-2025). Top 3 retained per discipline and gender.",https://en.wikipedia.org/wiki/World_Athletics_Championships
